指标,单位,绝对数,来源文件,年份,表格编号
新增220千伏及以上变电设备,万千伏安,25839,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,23
新建铁路投产里程,公里,4100,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,23
其中：高速铁路,公里,2082,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,23
增、新建铁路复线投产里程,公里,2658,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,23
电气化铁路投产里程,公里,3452,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,23
新改建高速公路里程,公里,8771,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,23
港口万吨级及以上码头泊位新增通过能力,万吨/年,25561,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,23
新增民用运输机场,个,6,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,23
新增光缆线路长度,万公里,477,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,23
