国家和地区,出口额（亿元）,比上年增长（%）,占全部出口比重（%）,进口额（亿元）,比上年增长（%）,占全部进口比重（%）,来源文件,年份,表格编号
东盟,41736,13.4,16.4,28163,3.2,15.3,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,13
欧盟,36751,4.3,14.4,19164,-3.3,10.4,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,13
美国,37337,6.1,14.7,11641,1.2,6.3,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,13
韩国,10415,-0.5,4.1,12931,13.6,7.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,13
中国香港,20719,7.3,8.1,1321,37.8,0.7,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,13
日本,10816,-2.3,4.2,11119,-1.7,6.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,13
中国台湾,5350,11.0,2.1,15498,10.5,8.4,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,13
俄罗斯,8212,5.0,3.2,9198,1.0,5.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,13
巴西,5128,23.3,2.0,8258,-4.4,4.5,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,13
印度,8574,3.6,3.4,1280,-1.7,0.7,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,13
南非,1552,-6.5,0.6,2180,-3.0,1.2,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,13
