指标,单位,绝对数,来源文件,年份,表格编号
新增220千伏及以上交流变电设备容量,万千伏安,32043,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,8
新建铁路投产里程,公里,3109,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,8
其中：高速铁路,公里,2862,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,8
增、新建铁路复线投产里程,公里,2941,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,8
电气化铁路投产里程,公里,3091,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,8
新改建高速公路里程,公里,8699,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,8
港口万吨级及以上码头泊位新增通过能力,万吨/年,38833,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,8
新增民用运输机场,个,7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,8
新增光缆线路长度,万公里,211,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,8
