行业,企业数（家）,比上年增长（%）,实际使用金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
总计,38570,-5.7,10000,6.2,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,27
其中：农、林、牧、渔业,493,-0.4,40,4.9,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,27
制造业,3732,-30.8,2156,-10.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,27
电力、热力、燃气及水生产和供应业,260,-11.9,217,-9.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,27
交通运输、仓储和邮政业,592,0.2,347,12.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,27
信息传输、软件和信息技术服务业,3521,-18.0,1133,13.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,27
批发和零售业,10812,-21.9,819,33.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,27
房地产业,1190,13.3,1407,-12.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,27
租赁和商务服务业,7513,30.1,1838,22.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,27
居民服务、修理和其他服务业,447,23.8,21,-42.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,27
