指标,单位,绝对数,比上年增长（%）,,来源文件,年份,表格编号
货物运输总量,亿吨,463.4,-0.5,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,18
铁路,亿吨,44.6,3.2,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,18
公路,亿吨,342.6,-0.3,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,18
水运,亿吨,76.2,-3.3,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,18
民航,万吨,676.6,-10.2,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,18
货物运输周转量,亿吨公里,196618.3,-1.0,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,18
铁路,亿吨公里,30371.8,1.0,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,18
公路,亿吨公里,60171.8,0.9,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,18
水运,亿吨公里,105834.4,-2.5,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,18
民航,亿吨公里,240.2,-8.7,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,18
