指标,专利数（万件）,比上年增长（%）,来源文件,年份,表格编号
专利授权数,460.1,26.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,16
其中：境内专利授权,445.1,27.0,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,16
其中：发明专利授权,69.6,31.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,16
其中：境内发明专利,57.8,33.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,16
年末有效专利数,1542.1,26.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,16
其中：境内有效专利,1429.5,28.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,16
其中：有效发明专利,359.7,17.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,16
其中：境内有效发明专利,270.4,22.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,16
