地　区,R&D经费（亿元）,R&D经费投入强度（%）,来源文件,年份,表格编号
全　国,24393.1,2.40,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
北　京,2326.6,6.44,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
天　津,485.0,3.44,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
河　北,634.4,1.75,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
山　西,211.1,1.20,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
内蒙古,161.1,0.93,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
辽　宁,549.0,2.19,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
吉　林,159.5,1.30,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
黑龙江,173.2,1.26,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
上　海,1615.7,4.17,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
江　苏,3005.9,2.93,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
浙　江,1859.9,2.88,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
安　徽,883.2,2.28,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
福　建,842.4,1.92,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
江　西,430.7,1.68,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
山　东,1681.9,2.30,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
河　南,901.3,1.64,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
湖　北,1005.3,2.31,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
湖　南,898.7,2.15,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
广　东,3479.9,3.14,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
广　西,173.2,0.78,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
海　南,36.6,0.66,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
重　庆,526.8,2.11,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
四　川,1055.3,2.17,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
贵　州,161.7,0.91,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
云　南,246.0,1.00,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
西　藏,4.4,0.23,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
陕　西,632.3,2.42,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
甘　肃,109.6,1.22,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
青　海,21.3,0.71,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
宁　夏,59.6,1.52,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
新　疆,61.6,0.45,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
,,,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,3
