,财政科学技术支出（亿元）,比上年增长（%）,占财政科学技术支出的比重（%）,来源文件,年份,表格编号
合　计,9518.2,13.5,—,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,3
其中：科学技术,8326.7,14.6,87.5,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,3
其他功能支出中用于科学技术的支出,1191.5,6.7,12.5,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,3
其中：中央,3738.5,9.3,39.3,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,3
地方,5779.7,16.5,60.7,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,3
注：本表中财政科学技术支出的统计范围为公共财政支出安排的科技项目。,,,,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,3
