商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
钢材,万吨,11072,22.7,5950,0.4,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
纺织纱线、织物及其制品,—,—,—,10102,7.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
服装及衣着附件,—,—,—,11326,1.4,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
鞋靴,万双,920152,3.3,3336,-3.8,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
家具及其零件,—,—,—,4830,7.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
箱包及类似容器,万吨,362,9.6,2458,-2.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
玩具,—,—,—,2837,-0.7,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
塑料制品,—,—,—,7549,6.7,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
集成电路,亿个,2981,11.6,11352,18.7,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
自动数据处理设备及其零部件,—,—,—,14661,11.2,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
手机,万台,81394,1.5,9559,-2.4,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
集装箱,万个,545,135.7,1213,108.6,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
液晶平板显示模组,万个,189264,11.9,2066,10.3,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
汽车（包括底盘）,万辆,641,22.8,8347,16.5,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,28
