指标,单位,绝对数,比上年增长（%）,,来源文件,年份,表格编号
货物运输总量,亿吨,514.7,-3.0,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,20
铁路,亿吨,49.3,4.5,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,20
公路,亿吨,371.2,-5.5,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,20
水路,亿吨,85.5,3.8,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,20
民航,万吨,607.6,-17.0,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,20
管道,亿吨,8.6,3.1,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,20
货物运输周转量,亿吨公里,231743.5,3.4,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,20
铁路,亿吨公里,35906.5,8.2,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,20
公路,亿吨公里,68958.0,-1.2,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,20
水路,亿吨公里,121003.1,4.7,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,20
民航,亿吨公里,254.1,-8.7,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,20
管道,亿吨公里,5621.8,3.7,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,20
