行业,R&D经费（亿元）,R&D经费投入强度（%）,来源文件,年份,表格编号
合　计,13971.1,1.32,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
采矿业,288.1,0.62,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
煤炭开采和洗选业,109.2,0.44,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
石油和天然气开采业,93.8,1.08,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
黑色金属矿采选业,13.4,0.39,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
有色金属矿采选业,21.8,0.65,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
非金属矿采选业,18.6,0.54,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
开采专业及辅助性活动,31.2,1.31,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
制造业,13538.5,1.45,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
农副食品加工业,262.0,0.56,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
食品制造业,156.2,0.82,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
酒、饮料和精制茶制造业,107.6,0.70,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
烟草制品业,30.4,0.27,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
纺织业,265.9,1.11,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
纺织服装、服饰业,105.6,0.66,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
皮革、毛皮、羽毛及其制品和制鞋业,80.3,0.69,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
木材加工和木、竹、藤、棕、草制品业,63.2,0.74,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
家具制造业,73.6,1.03,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
造纸和纸制品业,157.7,1.18,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
印刷和记录媒介复制业,79.6,1.20,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
文教、工美、体育和娱乐用品制造业,118.2,0.92,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
石油、煤炭及其他燃料加工业,184.7,0.38,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
化学原料和化学制品制造业,923.4,1.40,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
医药制造业,609.6,2.55,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
化学纤维制造业,123.7,1.44,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
橡胶和塑料制品业,357.6,1.41,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
非金属矿物制品业,520.1,0.97,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
黑色金属冶炼和压延加工业,886.3,1.25,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
有色金属冶炼和压延加工业,479.8,0.85,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
金属制品业,466.4,1.36,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
通用设备制造业,822.9,2.15,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
专用设备制造业,776.7,2.64,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
汽车制造业,1289.6,1.60,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
铁路、船舶、航空航天和其他运输设备制造业,429.1,3.81,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
电气机械和器材制造业,1406.2,2.15,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
计算机、通信和其他电子设备制造业,2448.1,2.15,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
仪器仪表制造业,229.1,3.16,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
其他制造业,39.8,2.44,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
废弃资源综合利用业,28.2,0.62,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
金属制品、机械和设备修理业,17.1,1.28,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
电力、热力、燃气及水生产和供应业,144.5,0.18,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
电力、热力生产和供应业,113.0,0.17,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
燃气生产和供应业,17.0,0.19,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
水的生产和供应业,14.4,0.48,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,2
