商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
钢材,万吨,9026,36.2,5929,-3.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
纺织纱线、织物及其制品,—,—,—,9454,-3.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
服装及衣着附件,—,—,—,11206,-2.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
鞋靴,万双,891424,-2.5,3470,-8.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
家具及其零件,—,—,—,4517,0.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
箱包及类似容器,万吨,331,13.5,2512,9.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
玩具,—,—,—,2858,-7.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
塑料制品,—,—,—,7090,1.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
集成电路,亿个,2678,-1.8,9568,-5.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
自动数据处理设备及其零部件,—,—,—,13187,-15.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
手机,万台,80213,-2.0,9797,2.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
集装箱,万个,231,-27.9,581,-39.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
液晶平板显示模组,万个,168929,2.9,1873,3.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
汽车（包括底盘）,万辆,522,57.4,7165,76.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,28
