指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
旅客运输总量,亿人次,93.0,66.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,23
铁路,亿人次,38.5,130.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,23
公路,亿人次,45.7,28.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,23
水路,亿人次,2.6,121.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,23
民航,亿人次,6.2,146.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,23
旅客运输周转量,亿人公里,28609.6,121.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,23
铁路,亿人公里,14729.4,123.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,23
公路,亿人公里,3517.6,46.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,23
水路,亿人公里,53.8,137.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,23
民航,亿人公里,10308.8,163.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,23
