行业,企业数（家）,比上年增长（%）,实际使用金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
总计,47643,23.5,11494,14.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,29
其中：农、林、牧、渔业,491,-0.4,55,38.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,29
制造业,4455,19.4,2216,2.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,29
电力、热力、燃气及水生产和供应业,465,78.9,249,14.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,29
交通运输、仓储和邮政业,693,17.1,351,1.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,29
信息传输、软件和信息技术服务业,4053,15.1,1345,18.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,29
批发和零售业,13379,23.7,1098,34.1,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,29
房地产业,1125,-5.5,1571,11.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,29
租赁和商务服务业,9290,23.7,2193,19.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,29
居民服务、修理和其他服务业,522,16.8,31,44.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,29
