指标,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
货物进出口总额,417568,0.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,10
货物出口额,237726,0.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,10
其中：一般贸易,153530,2.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,10
加工贸易,49062,-9.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,10
其中：机电产品,139196,2.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,10
高新技术产品,59279,-5.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,10
货物进口额,179842,-0.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,10
其中：一般贸易,117042,1.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,10
加工贸易,27061,-11.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,10
其中：机电产品,65363,-5.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,10
高新技术产品,47916,-5.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,10
货物进出口顺差,57883,3.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,10
