商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
谷物及谷物粉,万吨,1785,-12.8,358,-7.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
大豆,万吨,8851,0.5,2437,-2.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
食用植物油,万吨,953,51.5,438,39.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
铁矿砂及其精矿,万吨,106895,0.5,6995,39.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
煤及褐煤,万吨,29967,6.3,1605,-1.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
原油,万吨,50572,9.5,16627,4.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
成品油,万吨,3056,-8.7,1175,-11.7,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
天然气,万吨,9656,6.9,2875,12.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
初级形状的塑料,万吨,3691,12.4,3670,-1.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
纸浆,万吨,2720,9.7,1178,-9.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
钢材,万吨,1230,-6.5,973,-10.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
未锻轧铜及铜材,万吨,498,-6.0,2240,-9.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
集成电路,亿个,4451,6.6,21079,2.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
汽车,万辆,105,-7.6,3332,0.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,27
