指标,年末数（亿元）,比上年末增长（%）,来源文件,年份,表格编号
各项存款,2644472,10.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,31
其中：境内住户存款,1212110,17.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,31
其中：人民币,1203387,17.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,31
境内非金融企业存款,779398,6.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,31
各项贷款,2191029,10.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,31
其中：境内短期贷款,560304,7.7,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,31
境内中长期贷款,1427739,10.6,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,31
