商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
钢材,万吨,5367,-16.5,3151,-14.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
纺织纱线、织物及制品,—,—,—,10695,30.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
服装及衣着附件,—,—,—,9520,-6.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
鞋靴,万双,740137,-22.4,2454,-20.9,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
家具及其零件,—,—,—,4039,12.2,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
箱包及类似容器,万吨,201,-34.7,1429,-23.9,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
玩具,—,—,—,2317,7.7,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
塑料制品,—,—,—,5902,20.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
集成电路,亿个,2598,18.8,8056,15.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
自动数据处理设备及其零部件,—,—,—,14599,12.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
手机,万台,96640,-2.8,8647,0.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
集装箱,万个,198,-17.9,508,10.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
液晶显示板,万个,126747,-15.9,1370,-7.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
汽车（包括底盘）,万辆,108,-13.2,1090,-3.2,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,24
