商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
大豆,万吨,9108,-5.6,4085,18.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,11
食用植物油,万吨,648,-37.6,606,-14.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,11
铁矿砂及其精矿,万吨,110686,-1.5,8498,-27.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,11
煤及褐煤,万吨,29320,-9.2,2855,22.2,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,11
原油,万吨,50828,-0.9,24350,45.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,11
成品油,万吨,2645,-2.5,1309,21.2,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,11
天然气,万吨,10925,-9.9,4683,30.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,11
初级形状的塑料,万吨,3058,-10.0,3734,-5.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,11
纸浆,万吨,2916,-1.8,1492,15.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,11
钢材,万吨,1057,-25.9,1136,-6.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,11
未锻轧铜及铜材,万吨,587,6.2,3610,6.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,11
集成电路,亿个,5384,-15.3,27663,-0.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,11
汽车（包括底盘）,万辆,88,-6.5,3529,1.2,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,11
