指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
旅客运输总量,亿人次,171.2,0.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,6
铁路,亿人次,46.0,6.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,6
公路,亿人次,114.9,-2.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,6
水路,亿人次,2.6,-0.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,6
民航,亿人次,7.7,5.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,6
旅客运输周转量,亿人公里,35545.6,5.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,6
铁路,亿人公里,16395.6,3.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,6
公路,亿人公里,5100.4,0.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,6
水路,亿人公里,56.6,3.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,6
民航,亿人公里,13993.0,8.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,6
