指标,单位,绝对数,比上年增长（%）,,来源文件,年份,表格编号
旅客运输总量,亿人次,96.7,,-45.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,19
铁路,亿人次,22.0,,-39.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,19
公路,亿人次,68.9,,-47.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,19
水运,亿人次,1.5,,-45.2,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,19
民航,亿人次,4.2,,-36.7,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,19
旅客运输周转量,亿人公里,19251.4,,-45.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,19
铁路,亿人公里,8266.2,,-43.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,19
公路,亿人公里,4641.0,,-47.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,19
水运,亿人公里,33.0,,-58.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,19
民航,亿人公里,6311.2,,-46.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,19
