行业,比上年增长（%）,行业,比上年增长（%）,来源文件,年份,表格编号
总计,4.9,金融业,1.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,22
农、林、牧、渔业,9.3,房地产业[43],5.0,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,22
采矿业,10.9,租赁和商务服务业,13.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,22
制造业,13.5,科学研究和技术服务业,14.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,22
电力、热力、燃气及水生产和供应业,1.1,水利、环境和公共设施管理业,-1.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,22
建筑业,1.6,居民服务、修理和其他服务业,-10.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,22
批发和零售业,-5.9,教育,11.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,22
交通运输、仓储和邮政业,1.6,卫生和社会工作,19.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,22
住宿和餐饮业,6.6,文化、体育和娱乐业,1.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,22
信息传输、软件和信息技术服务业,-12.1,公共管理、社会保障和社会组织,-38.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,22
