指标,年末数（万人）,比重（%）,,来源文件,年份,表格编号
全国人口,141175,100.0,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,17
其中：城镇,92071,65.2,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,17
乡村,49104,34.8,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,17
其中：男性,72206,51.1,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,17
女性,68969,48.9,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,17
其中：0-15岁（含不满16周岁）[7],25615,18.1,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,17
16-59岁（含不满60周岁）,87556,62.0,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,17
60周岁及以上,28004,19.8,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,17
其中：65周岁及以上,20978,14.9,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,17
