国家和地区,出口额（亿元）,比上年增长（%）,占全部出口比重（%）,进口额（亿元）,比上年增长（%）,占全部进口比重（%）,来源文件,年份,表格编号
东盟,26550,7.0,14.8,20807,6.9,14.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,11
欧盟[39],27084,7.2,15.1,17874,2.6,12.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,11
美国,31279,8.4,17.4,9319,10.1,6.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,11
日本,9883,0.1,5.5,12090,2.1,8.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,11
韩国,7787,1.8,4.3,11957,0.0,8.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,11
中国香港,18830,-2.2,10.5,482,-22.9,0.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,11
中国台湾,4163,9.5,2.3,13873,16.2,9.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,11
巴西,2417,-1.5,1.3,5834,5.8,4.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,11
俄罗斯,3506,2.1,2.0,3960,-6.1,2.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,11
印度,4613,-10.5,2.6,1445,16.7,1.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,11
南非,1055,-7.5,0.6,1422,-20.4,1.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,11
