单位：%,,,,来源文件,年份,表格编号
指标,全国,,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,2
城市,农村,,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,2
居民消费价格,0.9,1.0,0.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,2
其中：食品烟酒,-0.3,0.0,-1.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,2
衣　着,0.3,0.3,0.0,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,2
居　住[13],0.8,0.8,1.1,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,2
生活用品及服务,0.4,0.4,0.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,2
交通通信,4.1,4.2,3.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,2
教育文化娱乐,1.9,2.0,1.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,2
医疗保健,0.4,0.3,0.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,2
其他用品及服务,-1.3,-1.4,-1.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,2
