指标,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
货物进出口总额,391009,21.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,25
货物出口额,217348,21.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,25
其中：一般贸易,132445,24.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,25
加工贸易,53378,9.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,25
其中：机电产品,128286,20.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,25
高新技术产品,63266,17.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,25
货物进口额,173661,21.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,25
其中：一般贸易,108395,25.0,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,25
加工贸易,31601,13.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,25
其中：机电产品,73657,12.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,25
高新技术产品,54088,14.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,25
货物进出口顺差,43687,20.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,25
