指标,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2024年_标准化,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
高等学校专利申请授权数 (件),37846.05,35303.1,32750.675000000003,30549.800000000003,27140.735,25132.595,22702.73,21136.864999999998,18851.855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
高等学校发明专利申请授权数 (件),37846.05,35303.1,32750.675000000003,30549.800000000003,27140.735,25132.595,22702.73,21136.864999999998,18851.855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
注：1. 高等学校科技活动人员指标自2009年起废止。,2675.0,2579.0,2412.4,2180.5,1882.48,1796.62,1457.88,1265.96,1072.24,0.07049197441220349,0.07288237393969958,0.07352093514354141,0.07123541505703022,0.06922071329667323,0.07133600453189788,0.06412248914779702,0.05980983662869882,0.05677459262841181
2. 高等学校的科学家和工程师人员指标自2009年起废止。,2675.0,2579.0,2412.4,2180.5,1882.48,1796.62,1457.88,1265.96,1072.24,0.07049197441220349,0.07288237393969958,0.07352093514354141,0.07123541505703022,0.06922071329667323,0.07133600453189788,0.06412248914779702,0.05980983662869882,0.05677459262841181
3. 高等学校科研和开发机构研究与试验发展折合全时科学家和工程师人员指标自2009年起废止。,2675.0,2579.0,2412.4,2180.5,1882.48,1796.62,1457.88,1265.96,1072.24,0.07049197441220349,0.07288237393969958,0.07352093514354141,0.07123541505703022,0.06922071329667323,0.07133600453189788,0.06412248914779702,0.05980983662869882,0.05677459262841181
4. 高等学校科技经费筹集额指标自2009年起废止。,2675.0,2579.0,2412.4,2180.5,1882.48,1796.62,1457.88,1265.96,1072.24,0.07049197441220349,0.07288237393969958,0.07352093514354141,0.07123541505703022,0.06922071329667323,0.07133600453189788,0.06412248914779702,0.05980983662869882,0.05677459262841181
5. 高等学校来源于政府的科技经费筹集额指标自2009年起废止。,2675.0,2579.0,2412.4,2180.5,1882.48,1796.62,1457.88,1265.96,1072.24,0.07049197441220349,0.07288237393969958,0.07352093514354141,0.07123541505703022,0.06922071329667323,0.07133600453189788,0.06412248914779702,0.05980983662869882,0.05677459262841181
6. 高等学校来源于企业的科技经费筹集额指标自2009年起废止。,2675.0,2579.0,2412.4,2180.5,1882.48,1796.62,1457.88,1265.96,1072.24,0.07049197441220349,0.07288237393969958,0.07352093514354141,0.07123541505703022,0.06922071329667323,0.07133600453189788,0.06412248914779702,0.05980983662869882,0.05677459262841181
7. 高等学校来源于金融机构贷款科技经费筹集额指标自2009年起废止。,2675.0,2579.0,2412.4,2180.5,1882.48,1796.62,1457.88,1265.96,1072.24,0.07049197441220349,0.07288237393969958,0.07352093514354141,0.07123541505703022,0.06922071329667323,0.07133600453189788,0.06412248914779702,0.05980983662869882,0.05677459262841181
8. 高等学校的科技经费内部支出指标自2009年起废止。,2675.0,2579.0,2412.4,2180.5,1882.48,1796.62,1457.88,1265.96,1072.24,0.07049197441220349,0.07288237393969958,0.07352093514354141,0.07123541505703022,0.06922071329667323,0.07133600453189788,0.06412248914779702,0.05980983662869882,0.05677459262841181
9. 高等学校用于业务费的科技经费内部支出指标自2009年起废止。,2675.0,2579.0,2412.4,2180.5,1882.48,1796.62,1457.88,1265.96,1072.24,0.07049197441220349,0.07288237393969958,0.07352093514354141,0.07123541505703022,0.06922071329667323,0.07133600453189788,0.06412248914779702,0.05980983662869882,0.05677459262841181
10. 高等学校固定资产购建费指标自2009年起废止。,2675.0,2579.0,2412.4,2180.5,1882.48,1796.62,1457.88,1265.96,1072.24,0.07049197441220349,0.07288237393969958,0.07352093514354141,0.07123541505703022,0.06922071329667323,0.07133600453189788,0.06412248914779702,0.05980983662869882,0.05677459262841181
