指标,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2025年_标准化,2024年_标准化,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
技术市场成交额 (亿元),57498.0,61821.175,61475.66,47791.02,37294.3,28251.51,22398.39,17697.42,13424.22,11406.98,0,1.0,0.9130398619547028,0.8528941314769443,0.7575064758499954,0.5714032077943765,0.4988752588176495,0.4541558861084629,0.41846985125457564,0.3994789348723881
注：1. 科技活动人员指标自2009年起废止。,57498.0,12582.5,8420.0,17073.0,18091.0,7762.55,7307.14,7468.16,6674.44,6035.73,0,0.20276070155384077,0.12431658398096267,0.30410583792863727,0.36696267223333207,0.1563750953781342,0.1621613058689133,0.1911967149833401,0.207604965030238,0.21092062006504447
2. 科学家和工程师人员指标自2009年起废止。,57498.0,12582.5,8420.0,17073.0,18091.0,7762.55,7307.14,7468.16,6674.44,6035.73,0,0.20276070155384077,0.12431658398096267,0.30410583792863727,0.36696267223333207,0.1563750953781342,0.1621613058689133,0.1911967149833401,0.207604965030238,0.21092062006504447
3. 科技经费筹集额指标自2009年起废止。,57498.0,12582.5,8420.0,17073.0,18091.0,7762.55,7307.14,7468.16,6674.44,6035.73,0,0.20276070155384077,0.12431658398096267,0.30410583792863727,0.36696267223333207,0.1563750953781342,0.1621613058689133,0.1911967149833401,0.207604965030238,0.21092062006504447
4. 来源于政府资金的科技经费筹集额指标自2009年起废止。,57498.0,12582.5,8420.0,17073.0,18091.0,7762.55,7307.14,7468.16,6674.44,6035.73,0,0.20276070155384077,0.12431658398096267,0.30410583792863727,0.36696267223333207,0.1563750953781342,0.1621613058689133,0.1911967149833401,0.207604965030238,0.21092062006504447
5. 来源于企业资金的科技经费筹集额指标自2009年起废止。,57498.0,12582.5,8420.0,17073.0,18091.0,7762.55,7307.14,7468.16,6674.44,6035.73,0,0.20276070155384077,0.12431658398096267,0.30410583792863727,0.36696267223333207,0.1563750953781342,0.1621613058689133,0.1911967149833401,0.207604965030238,0.21092062006504447
6. 来源于金融机构贷款的科技经费筹集额指标自2009年起废止。,57498.0,12582.5,8420.0,17073.0,18091.0,7762.55,7307.14,7468.16,6674.44,6035.73,0,0.20276070155384077,0.12431658398096267,0.30410583792863727,0.36696267223333207,0.1563750953781342,0.1621613058689133,0.1911967149833401,0.207604965030238,0.21092062006504447
7. 科技经费内部支出指标自2009年起废止。,57498.0,12582.5,8420.0,17073.0,18091.0,7762.55,7307.14,7468.16,6674.44,6035.73,0,0.20276070155384077,0.12431658398096267,0.30410583792863727,0.36696267223333207,0.1563750953781342,0.1621613058689133,0.1911967149833401,0.207604965030238,0.21092062006504447
8. 科技活动人员、科学家和工程师人员经费筹集额、内部支出数据自2009年起废止。,57498.0,12582.5,8420.0,17073.0,18091.0,7762.55,7307.14,7468.16,6674.44,6035.73,0,0.20276070155384077,0.12431658398096267,0.30410583792863727,0.36696267223333207,0.1563750953781342,0.1621613058689133,0.1911967149833401,0.207604965030238,0.21092062006504447
9. 2017年以前为专利申请受理数。,57498.0,12582.5,8420.0,17073.0,18091.0,7762.55,7307.14,7468.16,6674.44,6035.73,0,0.20276070155384077,0.12431658398096267,0.30410583792863727,0.36696267223333207,0.1563750953781342,0.1621613058689133,0.1911967149833401,0.207604965030238,0.21092062006504447
