指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
生活能源消费量 (万吨标准煤),69831.0,69383.5,64516.625,60952.5,57930.5,56087.125,52825.5,51306.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
生活煤炭消费量 (万吨),4355.0,5150.0,5929.0,6283.0,6547.0,7714.0,9283.0,9492.0,0.062337997107219066,0.07419845347823267,0.09185656518293617,0.10290365192277713,0.11266243578120277,0.13715141907303727,0.17529239073819783,0.18459303388479512
生活煤油消费量 (万吨),2.0,2.0,3.0,12.0,23.0,25.0,28.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生活液化石油气消费量 (万吨),2437.0,2674.0,2732.0,2860.0,2855.0,3147.0,3225.0,2955.0,0.0348708989101949,0.038511707011234984,0.04230114181306662,0.04673410950025025,0.048905582178474294,0.055688220879961295,0.06055210947488044,0.05711736702393459
生活天然气消费量 (亿立方米),612.0,589.0,592.0,560.0,502.0,468.0,420.0,380.0,0.008735625599679216,0.00846046856871068,0.009129854352472055,0.008992377811143657,0.008271812804904374,0.007901948062082912,0.007424593967517401,0.006903225649188408
生活煤气消费量 (亿立方米),38.0,37.0,43.0,50.0,46.0,47.0,52.0,63.0,0.0005155451173581176,0.0005044572400423744,0.0006200240646840106,0.0006235590452982828,0.000397185165997496,0.00039242179992285344,0.0004545669776031062,0.0007215235848021782
生活热力消费量 (万百万千焦),69831.0,69383.5,64516.625,60952.5,57930.5,56087.125,52825.5,51306.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
生活电力消费量 (亿千瓦小时),14070.0,13936.0,12279.0,11396.0,10637.0,10058.0,9072.0,8421.0,0.2014635753053889,0.20083163379286986,0.19028538545152285,0.18680516241251713,0.18329231964771403,0.17896217811936313,0.17129598939343718,0.1637078512003861
