指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
人均生活能源消费量 (千克标准煤),501.0,498.0,476.0,456.0,439.0,431.0,412.0,392.0,0.7766823831975997,0.7852896885154949,0.7874448422279577,0.783210731285158,0.7749911063678405,0.7605157847932414,0.73713666726846,0.7256894049346879
人均煤炭生活消费量 (千克),31.0,36.0,39.0,45.0,47.0,55.0,66.0,68.0,0.04411019756069049,0.05294444004121423,0.05977853634168679,0.07183037646040676,0.07773034507292778,0.0917741218319253,0.11247517602455316,0.1189194250667166
人均电力生活消费量 (千瓦小时),644.275,633.45,603.65,581.25,565.5,565.65,557.6,538.475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
人均液化石油气生活消费量 (千克),17.3,18.9,19.3,20.3,20.3,22.4,23.1,21.3,0.02275649768148697,0.025838154870412928,0.026975272666722172,0.029078321073128518,0.030238349341871217,0.03379279679857715,0.03502437263043871,0.03146214710426518
人均天然气生活消费量 (立方米),43.4,41.7,41.9,39.7,35.7,33.4,30.1,27.4,0.06343763394770681,0.06197986843148134,0.06460744317708766,0.06265685850281263,0.0576307363927428,0.053357047576700754,0.0476620328579166,0.04288590289807575
人均煤气生活消费量 (立方米),2.7,2.6,3.1,3.5,3.3,3.4,3.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
注：人均能源生产量和消费量按年平均人口数计算。,37.2,38.85,40.45,42.35,41.35,44.2,48.05,47.7,0.05377391575419866,0.05746215423634778,0.06219298975938724,0.0672436174816097,0.06768054073283529,0.07256558470431304,0.08006860444123487,0.08090266398239618
