指标,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2024年_标准化,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
水资源总量 (亿立方米),31123.0,25782.5,27088.1,29638.2,31605.2,29041.0,27462.5,28761.2,32466.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
地表水资源量 (亿立方米),29895.6,24633.5,25984.4,28310.5,30407.0,27993.3,26323.2,27746.3,31273.9,0.9575501226045424,0.9520348655181194,0.9561500045689495,0.9517895982890154,0.9591968779584136,0.9611647966313417,0.9553299771023493,0.9619906146891724,0.9604175656387958
地下水资源量 (亿立方米),8679.2,7807.1,7924.4,8195.7,8553.5,8191.5,8246.5,8309.6,8854.8,0.22377663492897934,0.24961490133542613,0.23862629569446045,0.22139674724125538,0.21500473346182922,0.22716944484600474,0.24657319406543082,0.23405976488036168,0.21626448036644869
地表水与地下水资源重复量 (亿立方米),19287.4,6658.1,6820.7,6868.0,7355.3,7143.8,7107.2,7294.7,7662.3,0.5906633787667609,0.2016497668535456,0.1947763002634099,0.17318634553027085,0.17420161142024287,0.18833424147734643,0.2019031711677802,0.19605037956953406,0.17668204600524445
人均水资源量 (立方米/人),2208.9,1827.6,1918.2,2098.5,2239.8,2062.9,1957.7,2059.9,2339.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
